No,Invoice Number,Invoice Date,Invoice Status,Customer Name,GST Treatment,Place of Supply,PurchaseOrder,Payment Terms,Payment Terms Label,Due Date,Expected Payment Date,Sales person,Currency Code,Account,Item Name,SKU,Item Type,HSN/SAC,Quantity,Usage unit,Item Price,Item Tax Exemption Reason,Is Inclusive Tax,Item Tax,Item Tax Type,Item Tax %,Shipping Charge,Shipping Charge Tax ID,Shipping Charge Tax Name,Shipping Charge Tax %,Shipping Charge Tax Type,Shipping Charge SAC Code,Adjustment,Adjustment Description,PayPal,Razorpay,Partial Payments,Template Name,Notes
2,SMN/2025-26/1213,2025-07-29,DRAFT,Dummy Customer,consumer,,432597,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,The Noodles Combo,TNC4000,goods,,1,,325,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
3,SMN/2025-26/1214,2025-07-29,DRAFT,Dummy Customer,consumer,,432627,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Cold Pressed Safflower Oil,SAOI1000,goods,,5,,418,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
4,SMN/2025-26/1214,2025-07-29,DRAFT,Dummy Customer,consumer,,432627,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Nattu Sakkarai - Cane Jaggery Powder - 1 Kg,NASA1000,goods,,3,,140,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
5,SMN/2025-26/1214,2025-07-29,DRAFT,Dummy Customer,consumer,,432627,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Himalayan Rock Salt (powder) / Indhu Uppu,HRSP1000,goods,,3,,125,,TRUE,,Tax Group,0,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
6,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Nattu Sakkarai - Cane Jaggery Powder - 500 gms,NASA0500,goods,,1,,75,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
7,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Black Kavuni - Karuppu Kavuni Rice - 1 Kg,BKRI1000,goods,,1,,325,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
8,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Mappillai Samba Rice - 500gms,MPSR0500,goods,,2,,70,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
9,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Brown Rice - Handpound Rice (500 gms),BRHP0500,goods,,2,,65,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
10,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Saamai Rice (Little millet) - 500 gms,SARI0500,goods,,1,,85,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
11,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Varagu Rice (kodo millet) - 500 gms,VARI0500,goods,,1,,80,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
12,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Kuthiraivali Rice (Banyard millet) - 500 gms,KVRI0500,goods,,1,,90,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
13,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Thinai Rice (Foxtail millet) - 500 gms,THRI0500,goods,,1,,80,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
14,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Whole Ragi/Finger Millet - 500 gms,WHRA0500,goods,,1,,40,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
15,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Kadalai Paruppu | Channa Dhal | Bengal Gram Dal (500 gms),CHDAL500,goods,,1,,64.99,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
16,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Black Urad Dhall - Split (Ulundhu) - 500 gms,BUDSP500,goods,,1,,90,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
17,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Cholam (Sorghum Millet) - 500 gms,CHRI0500,goods,,1,,55,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
18,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Dark Red Kidney Beans (500 gms),DRKB500G,goods,,1,,120,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
19,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Raw Peanut / Groundnut / Fresh Verkadalai - 500 gms,RAPN0500,goods,,1,,105,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
20,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Black Ellu / Black Sesame Seeds / Black Til - 100 gms,BLSS0100,goods,,2,,45,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
21,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Sunflower Seeds - 100 gms,SFSE0100,goods,,1,,55,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
22,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Pumpkin Seeds - 100 gms,PUMP0100,goods,,1,,85,,TRUE,,Tax Group,12,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
23,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,White Sesame Seeds / White Ellu / White Til - 100 gms,WHSS0100,goods,,1,,64.99,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
24,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Parambariya Biriyani Masala - 50 Gms,PABM0050,goods,,2,,60,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
25,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Karunjeeragam - Black Jeera 100gms,KARU0100,goods,,1,,64.99,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
26,SMN/2025-26/1215,2025-07-29,DRAFT,Dummy Customer,consumer,,432636,-3,Due end of next Month,,,Gramiyum Chennai,INR,Sales,Cloves - Lavangam - 50 Gms,CLOV0050,goods,,1,,85,,TRUE,,Tax Group,5,,,GST18,18,Tax Group,996812,,,FALSE,FALSE,FALSE,Spreadsheet Template,
